name,link,edition,author,release,ratings,rating_counts,price,genres
CHART PATTRNS & CANDLESTICK PATTERNS POCKET SIZE - A6 BOOKS(COMBO) [Staple Bound] OXLANE FINANCE,/CHART-PATTRNS-CANDLESTICK-PATTERNS-POCKET/dp/B0B56W854W,,by OXLANE FINANCE , 31 December 2021,3.9,34  ,999,
1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,/1800-Reward-Stickers-Teachers-Parents/dp/9388810740,,by Wonder House Books  , 6 August 2020,4.5,817  ,225,"in Children's Games, Toys & Activities"
Target High 6th Premium Edition,/Target-High-6th-Premium-MUTHUVENKATACHALAM/dp/9390619556,,by MUTHUVENKATACHALAM S. , 1 January 2021,4.5,"2,320  ","1,895",in Nursing
"My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite Words, Action Words, Parts of the body and Objects Around Us.",/First-1000-Words-Transport-Professions/dp/9388144112,,by Wonder House Books  , 1 January 2018,4.5,"7,164  ",299,
"Diary of a Wimpy Kid Set of 13 Book -(1 To 13), International Best Seller ( Paperback )",/Diary-Wimpy-International-Seller-Paperback/dp/B0BQGY74F5,,by Jeff Kinney , 1 January 2019,,,"2,999",
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),/Ruskin-Bond-Selling-Children-Collection/dp/8131964817,,by Ruskin Bond  , 1 January 2019,4.5,"3,846  ",699,
101 Tales The Great Panchatantra Collection - Collection Of Witty Moral Stories For Kids For Personality Development,/101-Tales-Great-Panchatantra-Collection/dp/9390093953,,by Wonder House Books  , 12 October 2020,4.5,"1,175  ",599,
The Book Thief: TikTok made me buy it! The life-affirming international bestseller,/Book-Thief-10th-Anniversary-ebook/dp/B01B2DJKHC,,by Markus Zusak  , 8 March 2016,4.6,"12,694  ",399,
Smart Study - Maharashtra Van Vibhag - Vanarakshak Bharti 42 Prashnapatrika Sanch - 5100+ Prashna - 2022-23/Ed.,/Smart-Study-Maharashtra-Vanarakshak-Prashnapatrika/dp/B0BNQ8FZBS,Marathi Edition , by Vitthal Rautwar , 30 November 2022,2.0,1  ,360,
"Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud to Infants, Toddlers",/Phonic-Reader-Illustrated-Set-Books/dp/9394668772,,by Maple Press  , 7 October 2022,4.6,10  ,240,
garbhasanskar book in marathi,/garbhasanskar-book-marathi-Balaji-Tambe/dp/B0B3TM1MHM,,by Dr Balaji Tambe , 1 January 2022,3.8,4  ,900,
Trading Chart and Candlestick Patterns Books (A6 Size Pocket Book),/Trading-Chart-Candlestick-Patterns-Pocket/dp/B0BKFGX2RW,,by Trading Buddy , 1 January 2022,4.2,5  ,599,
Bhagwan Buddha Ani Tyancha Dhamma डॉ. बाबासाहेब आंबेडकर Tathagat Gautam budha Aani Dr. Babasaheb Ambedkar Book in Marathi Books and his dhama Buddhism गौतम बुद्ध आणि त्यांचा धम्म मराठी पुस्तक dharma,/%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%AC-Tathagat-Babasaheb-Ambedkar-Buddhism/dp/9352203704,Marathi Edition , by Babasaheb Ambedkar , 6 December 2022,4.7,4  ,440,
"Intraday Trading : Share Market Books in Marathi (Indian Stock Option Technical Analysis & Investing, Learning Guide Zone) Bazar Book : शेअर मार्केट, इंट्राडे ट्रेडिंग, मराठी पुस्तक, Sharemarket on",/Intraday-Trading-Technical-Investing-Sharemarket/dp/9352203747,Marathi Edition , by Indrazith Shantharaj and Jui Palekar-Parlikar , 1 November 2022,4.7,16  ,196,
(Hindi Book) Price Action Trading Technical Analysis Hindi,/Hindi-Action-Trading-Technical-Analysis/dp/8195840604,Hindi Edition , by Sunil Gurjar (Chartmojo) , 1 January 2022,5.0,3  ,350,
Mathematics and Statistics Practical Book For Class 12 ( XII ) - Arts and Science Stream. English Medium. Maharashtra State Board,/Mathematics-Statistics-Practical-Book-Class/dp/B08QGNRLJW,,by MSBTPC - Maharashtra Board Publications , 1 January 2020,4.4,21  ,57,
Brain Activity Book for Kids - 200+ Activities for Age 6+,/Brain-Activity-Book-Kids-Activities/dp/9391924875,,by Maple Press  , 10 May 2022,4.5,71  ,125,
101 Panchatantra Stories for Children: Colourful Illustrated Story book,/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X,,by Om Books Editorial Team  , 30 September 2020,4.5,"7,712  ",250,in Children's History
Jolly Kids My First Book of Phonics Words Key to Letter Sound Relationship| Learning the Letter Sounds| Blending| Word Formatting| Sight Words| Phonic Activity Book for Kindergarten Ages 3-7 Years,/Relationship-Learning-Blending-Formatting-Kindergarten/dp/938705411X,,by Jolly Kids , 1 January 2020,4.6,890  ,375,
Brain Activity Book for Kids - 200+ Activities for Age 5+,/Brain-Activity-Book-Kids-Activities/dp/9391924956,,by Maple Press , 12 September 2022,4.0,4  ,125,
The Psychology of Money,/Psychology-Money-Morgan-Housel/dp/9390166268,,by Morgan Housel  , 18 September 2020,4.6,"45,238  ",399,in Books
Trading Mastermind Book - Become a Trading Expert From Scratch,/Trading-Mastermind-Book-Become-Scratch/dp/B09V7R6BZZ,,by Zebra Learn , 1 January 2022,4.2,87  ,"3,599",
Awesome Facts for Awesome Kids: A Fun & Fascinating Book of 700 Interesting Facts for Children Aged 8 - 12! (Awesome Books for Awesome People),/Awesome-Facts-Kids-Fascinating-Interesting-ebook/dp/B0BR1BGPCL,,by The Angry Whippet  , 23 December 2022,3.0,2  ,0,
"General Management | Samanya Prabandhan | सामान्य प्रबंधन | Shree Kabeer Publication | Objective B.S.IQ.| Sanjay Dangi, Babulal Dangi",/General-Management-Prabandhan-Publication-Objective/dp/B0BPGJJR7S,Hindi Edition , by Sanjay Dangi and Babulal Dangi , 1 January 2022,4.1,4  ,155,in Madhya Pradesh Public Service Commission (MPPSC)
101 Brain Booster Activity Book: Fun Activity Book For Children,/101-Brain-Booster-Activity-Book/dp/9388369793,,by Wonder House Books  , 25 January 2019,4.4,"5,101  ",225,
"Blossom Jumbo Creative Colouring Book for Kids 3 years to 5 years old | Best Drawing, Coloring, Painting and Art Book for Children with Color Reference Guide | A3 Size Colour Book for Kids | Level 1",/Creative-Colouring-Children-Coloring-Reference/dp/B07YD7NCNL,,by Content Team at Target Publications , 1 January 2020,4.4,"2,382  ",180,
"Success Key Presents Health Inspector, Malaria inspector, Sanitary inspector Mp Peb , Dsssb , Railway Recruitment Exam Book 2022",/Presents-Inspector-inspector-Sanitary-Recruitment/dp/B0BNW5RTT5,Hindi Edition , by Vinod Kumar Meena , 1 January 2022,4.8,9  ,799,
Ladybird Big Noisy Book: Farm Hullaballoo!,/Ladybird-Big-Noisy-Book-Hullaballoo/dp/1409306682,,by Ladybird  , 26 April 2011,4.6,"2,011  ",650,
"Sank Magic Practice for kids Copybook, Magic practice book for kids(4 BOOK + 10 REFILL+ 1 pen +1 grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/B09VCN8ZS8,,by QSHIXLE , 1 January 2020,4.3,938  ,499,
Shine India Year Book 2023 (Telugu Medium),/Shine-India-Year-Telugu-Medium/dp/B0BR83M7SP,Telugu Edition , by Sayyad Raja , 26 December 2022,,,239,
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,/Eat-That-Frog-Great-Procrastinating/dp/152309513X,,by Brian Tracy  , 21 August 2018,4.6,"6,879  ",299,
Beginner's Photography Book: An introduction to digital photography and related terminology.,/Beginners-Photography-Book-introduction-terminology-ebook/dp/B017GUJC32,,by Keith Silvas , 1 November 2015,5.0,8  ,0,
Smart Study - 812 Police Bharti - Bhag 2 - Prashnapatrika Sanch - 25025+ Prashna - 4th./Ed. - 2022,/Smart-Study-Police-Prashnapatrika-Prashna/dp/B0BMB526XR,Marathi Edition , by Vitthal Rautwar , 13 November 2022,5.0,1  ,580,
Mental Maths - Mathematics Activity Book 2,/Mental-Maths-Mathematics-Activity-Book/dp/9391924034,,by Maple Press  , 10 May 2022,4.2,28  ,95,
Gita Press Gorakhpur Geeta Daynandini Dairy (Delux Edition 2023) By Shri Ji Books (Code-2278),/Press-Gorakhpur-Geeta-Daynandini-Code-2278/dp/B09NTLB4TX,Hindi Edition , by Gita Press Gorakhpur , 31 October 2021,4.5,5  ,125,
ब्रम्हास्त्र करंट अफेयर्स 2022 by MJT Education | January to December 2022 Current Affairs book in Hindi for all exams| Bramhastra Current Affairs 2022 | MJT Education books,/%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0-%E0%A4%85%E0%A4%AB%E0%A5%87%E0%A4%AF%E0%A4%B0%E0%A5%8D%E0%A4%B8-Education-December-Bramhastra/dp/B0BN5VMKYP,Hindi Edition , by Er SUMIT MISHRA , 22 November 2022,4.0,9  ,220,
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),/First-Learning-Library-Box-Set/dp/9388369882,,by Wonder House Books  , 1 January 2019,4.6,"12,779  ","1,499",in Dictionaries
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",/Writing-Fun-Set-Books-Practice/dp/9387779777,,by Wonder House Books  , 1 January 2018,4.3,"10,832  ",399,in Handwriting Reference
My First Experiences Sticker Book: My first sticker books,/My-First-Experiences-Sticker-Book/dp/9388369815,,by Wonder House Books  , 20 January 2019,4.4,974  ,225,
Embrace Your Power: A Guide to Living Your Best Life (Personal Transformation Book 2),/Embrace-Your-Power-Personal-Transformation-ebook/dp/B0BR2QHZG6,,by Sofia Morico  , 24 December 2022,4.5,2  ,0,
