name,link,paperlink
The Adventures of Tom Sawyer,https://www.amazon.in/Adventures-Tom-Sawyer-Mark-Twain/dp/8175992913/ref=zg_bs_1318161031_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Adventures-Tom-Sawyer-Mark-Twain/dp/8175992913/ref=zg_bs_1318161031_sccl_14/000-0000000-0000000?psc=1
The Complete Grimms' Fairy Tales (Deluxe Hardbound Edition),https://www.amazon.in/Complete-Grimms-Fairy-Deluxe-Hardbound/dp/9390093023/ref=zg_bs_1318161031_sccl_15/000-0000000-0000000?psc=1,https://www.amazon.in/Complete-Grimms-Fairy-Deluxe-Hardbound/dp/9390093023/ref=zg_bs_1318161031_sccl_15/000-0000000-0000000?psc=1
The Girl in Room 105,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469/ref=zg_bs_1318161031_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469/ref=zg_bs_1318161031_sccl_16/000-0000000-0000000?psc=1
Manipuravum maadapuravum: மணிப்புறாவும் மாடப்புறாவும் (Tamil Edition),https://www.amazon.in/Manipuravum-maadapuravum-%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81%E0%AE%B1%E0%AE%BE%E0%AE%B5%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AE%BE%E0%AE%9F%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81%E0%AE%B1%E0%AE%BE%E0%AE%B5%E0%AF%81%E0%AE%AE%E0%AF%8D-Tamil-ebook/dp/B09Y3XD8SH/ref=zg_bs_1318161031_sccl_17/000-0000000-0000000?psc=1,
"A Thousand Kisses Deep: A Romance Thriller Fiction Novel that revolves around Mystery & Suspense in Love, Life & Fate | Seque",https://www.amazon.in/Thousand-Kisses-Deep-Thriller-revolves/dp/014345823X/ref=zg_bs_1318161031_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Thousand-Kisses-Deep-Thriller-revolves/dp/014345823X/ref=zg_bs_1318161031_sccl_18/000-0000000-0000000?psc=1
And Then There Were None: The best-selling murder mystery of all time (Agatha Christie Collection),https://www.amazon.in/Then-There-Agatha-Christie-Collection-ebook/dp/B0046H95RM/ref=zg_bs_1318161031_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Then-There-Were-None/dp/0062073486/ref=tmm_mmp_swatch_0?_encoding=UTF8&qid=&sr=
Two Indian Girls: A Murder Mystery Novel: Book 2 of The Kanke Killings Trilogy: An Indian detective on the crime scene buildi,https://www.amazon.in/Two-Indian-Girls-Mystery-Killings-ebook/dp/B094XBGD1G/ref=zg_bs_1318161031_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Two-Indian-Girls-Mystery-Killings/dp/B09KNCYRH7/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Civil Engineering Through Objective Type Questions 3Ed (Revised And Enlarged) (Pb 2019),https://www.amazon.in/Civil-Engineering-Through-Objective-Questions/dp/8123907974/ref=zg_bs_22960344031_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Civil-Engineering-Through-Objective-Questions/dp/8123907974/ref=zg_bs_22960344031_sccl_1/000-0000000-0000000?psc=1
Design Data: Data Book of Engineers by PSG College-Kalaikathir Achchagam - Coimbatore,https://www.amazon.in/Design-Data-Engineers-College-Kalaikathir-Coimbatore/dp/8192735508/ref=zg_bs_22960344031_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Design-Data-Engineers-College-Kalaikathir-Coimbatore/dp/8192735508/ref=zg_bs_22960344031_sccl_2/000-0000000-0000000?psc=1
Estimating and Costing in Civil Engineering (Theory and Practice) - 28/Revised Edition,https://www.amazon.in/Estimating-Costing-Engineering-Theory-Practice/dp/8174767703/ref=zg_bs_22960344031_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Estimating-Costing-Engineering-Theory-Practice/dp/8174767703/ref=zg_bs_22960344031_sccl_3/000-0000000-0000000?psc=1
Civil Engineering: Conventional and Objective Type by R. S. Khurmi (1-Dec-06) Paperback,https://www.amazon.in/Civil-Engineering-Conventional-Objective-Paperback/dp/B010WAFDE0/ref=zg_bs_22960344031_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Civil-Engineering-Conventional-Objective-Paperback/dp/B010WAFDE0/ref=zg_bs_22960344031_sccl_4/000-0000000-0000000?psc=1
GATE Aerospace Formula Book,https://www.amazon.in/GATE-Aerospace-Formula-Book-Academy/dp/B0BR813HKX/ref=zg_bs_22960344031_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/GATE-Aerospace-Formula-Book-Academy/dp/B0BR813HKX/ref=zg_bs_22960344031_sccl_5/000-0000000-0000000?psc=1
MECHANICAL ENGINEERING (CONV AND OBJ TYPE) 6000+ OBJ QUESTION,https://www.amazon.in/MECHANICAL-ENGINEERING-CONV-TYPE-QUESTION/dp/9355014457/ref=zg_bs_22960344031_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/MECHANICAL-ENGINEERING-CONV-TYPE-QUESTION/dp/9355014457/ref=zg_bs_22960344031_sccl_6/000-0000000-0000000?psc=1
Environmental Engineering (Vol. I) Water Supply Engineering,https://www.amazon.in/Water-Supply-Engineering-Environmental-Vol/dp/8174091203/ref=zg_bs_22960344031_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Water-Supply-Engineering-Environmental-Vol/dp/8174091203/ref=zg_bs_22960344031_sccl_7/000-0000000-0000000?psc=1
Objective Electrical Technology- Rohit Mehta,https://www.amazon.in/Objective-Electrical-Technology-Rohit-Mehta/dp/9355014465/ref=zg_bs_22960344031_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Objective-Electrical-Technology-Rohit-Mehta/dp/9355014465/ref=zg_bs_22960344031_sccl_8/000-0000000-0000000?psc=1
Steam Tables,https://www.amazon.in/Steam-Tables-Mollier-Diagrams-Units/dp/8121906547/ref=zg_bs_22960344031_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Steam-Tables-Mollier-Diagrams-Units/dp/8121906547/ref=zg_bs_22960344031_sccl_9/000-0000000-0000000?psc=1
AICTE Recommended| Fundamentals of Database Systems| By Pearson,https://www.amazon.in/Fundamentals-Database-System-Elmasri-Ramez/dp/933258270X/ref=zg_bs_22960344031_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Fundamentals-Database-System-Elmasri-Ramez/dp/933258270X/ref=zg_bs_22960344031_sccl_10/000-0000000-0000000?psc=1
Perspectives in Environmental Studies (MULTI COLOUR EDITION),https://www.amazon.in/Perspectives-Environmental-Studies-MULTI-COLOUR/dp/819517552X/ref=zg_bs_22960344031_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Perspectives-Environmental-Studies-MULTI-COLOUR/dp/819517552X/ref=zg_bs_22960344031_sccl_11/000-0000000-0000000?psc=1
Objective Electrical Technology (2018-19 Session),https://www.amazon.in/Objective-Electrical-Technology-2018-19-Session/dp/8121920973/ref=zg_bs_22960344031_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Objective-Electrical-Technology-2018-19-Session/dp/8121920973/ref=zg_bs_22960344031_sccl_12/000-0000000-0000000?psc=1
