name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Clapbox Adjustable Snare Cajon CB50- Oak Wood, (H:50 W:30 L:30) - 3 Internal Snares, black","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/61gccqQDLRL._AC_UL320_.jpg,https://www.amazon.in/Clapbox-Adjustable-Snare-Cajon-CB50/dp/B07SQC9JMG/ref=sr_1_50?qid=1679133098&s=musical-instruments&sr=1-50,4.4,"2,449","₹4,247","₹14,500"
Mexa Acoustic Guitar Bag Compatible With 38; 39; 40; 41; Inches Guitar Like - Fender; Yamaha; Cort; Ibanez; Xtag; Ashton; ...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/41etdzpFpZL._AC_UL320_.jpg,https://www.amazon.in/Yamaha-Guitars-Cover-Standard-Guitar/dp/B01C8FKFO0/ref=sr_1_51?qid=1679133098&s=musical-instruments&sr=1-51,4.4,"2,781",₹699,₹999
ULTRAPROLINK UM1002 Sing Along Karaoke Bluetooth Mixer with Karaoke Microphone & Bluetooth Receiver Amplifier with Echo fo...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/51Emgl879qL._AC_UL320_.jpg,https://www.amazon.in/Ultra-Prolink-UM1002-Sing-Along-Microphone/dp/B07XGRH6S9/ref=sr_1_52?qid=1679133098&s=musical-instruments&sr=1-52,3.9,"1,451","₹1,999","₹3,499"
AHUJA AUD-98XLR Unidirectional Dynamic Microphone -Corded Mic,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/41Yvq75URbL._AC_UL320_.jpg,https://www.amazon.in/Electronic-traders-Aud-98Xlr-Unidirectional-Microphone/dp/B079CYZTYP/ref=sr_1_53?qid=1679133098&s=musical-instruments&sr=1-53,4.2,"1,054","₹1,400","₹1,680"
JUAREZ Guitar Strap JRGST200FN Green,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/I/71SmmBXZd6L._AC_UL320_.jpg,https://www.amazon.in/JUAREZ-Guitar-Strap-JRGST200FN-Green/dp/B08K41ZZ3D/ref=sr_1_54?qid=1679133098&s=musical-instruments&sr=1-54,4.5,"1,427",₹305,₹790
BESTOR® Professional Condenser Microphone Kit Podcast Mic with Boom Arm Microphone with Stand | Microphone kit for Recordi...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81sJYOeCMOL._AC_UL320_.jpg,https://www.amazon.in/BESTOR%C2%AE-Professional-Condenser-Microphone-Podcast/dp/B08Y6YG9SF/ref=sr_1_52?qid=1679133100&s=musical-instruments&sr=1-52,3.4,306,"₹1,614","₹3,499"
MAONO AU-A03 Condenser Microphone Kit Podcast Mic with Boom Arm Microphone Stand (Black),"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51K7wenaznL._AC_UL320_.jpg,https://www.amazon.in/Maono-AU-A03-Condenser-Microphone-Podcast/dp/B07JJ62B1B/ref=sr_1_53?qid=1679133100&s=musical-instruments&sr=1-53,4.1,"4,985","₹2,789","₹4,999"
CLAW SM50 Professional Studio Monitoring DJ Headphones with 2 detachable cables (2.8m Coiled Cable & 1.2m Straight Cable w...,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61M1rAD4+8L._AC_UL320_.jpg,https://www.amazon.in/CLAW-SM50-Professional-Headphones-detachable/dp/B07VTQ9QKC/ref=sr_1_54?qid=1679133100&s=musical-instruments&sr=1-54,4.3,"1,320","₹1,590","₹2,990"
JUAREZ JRT500 PREMIUM GUITAR/UKULELE TUNER,"tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61p3EI6PL0L._AC_UL320_.jpg,https://www.amazon.in/JUAREZ-JRT500-PREMIUM-GUITAR-UKULELE/dp/B08TXKJTNG/ref=sr_1_55?qid=1679133100&s=musical-instruments&sr=1-55,4.0,688,₹279,₹890
"Mexa Keyboard Bag Compatible With Yamaha PSR-E363, E373, E473, E463, I455, I425, I400, I500 Keyboard & Casio CT-X700, X870...","tv, audio & cameras",Musical Instruments & Professional Audio,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61At0AykcnL._AC_UL320_.jpg,https://www.amazon.in/Yamaha-Musical-Keyboards-BackPack-Padding/dp/B01NAWJTH5/ref=sr_1_56?qid=1679133100&s=musical-instruments&sr=1-56,4.3,"1,689",₹899,"₹1,499"
