name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Urban Forest Tina Ladies Leather Wallet,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81mqJFFe08L._AC_UL320_.jpg,https://www.amazon.in/Urban-Forest-Womens-Wallet-Ubf101Lbl5001/dp/B019ZBVC92/ref=sr_1_54?qid=1679152724&s=apparel&sr=1-54,4.4,"1,442",,₹795
"Eco Right Canvas Tote Bag for Women & Girls, Made of Organic Cotton",stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Si+4z4+5L._AC_UL320_.jpg,https://www.amazon.in/EcoRight-Womens-Cotton-Porcupine-Printed/dp/B078ZXSKBH/ref=sr_1_55?qid=1679152724&s=apparel&sr=1-55,4.2,572,,₹399
"Bag-Age Boy's Sling Cross Body Travel Office Business Messenger Shoulder Bag for Men & Women, Sturdy messanger for collag...",stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/516wOgdN3GL._AC_UL320_.jpg,https://www.amazon.in/Bag-Age-Unisex-Ltrs-Polyester-Messenger/dp/B011NZUOII/ref=sr_1_53?qid=1679152726&s=apparel&sr=1-53,4.0,769,₹315,₹999
Tooba Women's Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81kAl7HbCGL._AC_UL320_.jpg,https://www.amazon.in/Tooba-Womens-Clutch-Mirror-6X4_1/dp/B01MUQ9T4Q/ref=sr_1_54?qid=1679152726&s=apparel&sr=1-54,4.0,726,₹307,"₹2,999"
Lychee bags Girl's Sling Bag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61x8sNPIosL._AC_UL320_.jpg,https://www.amazon.in/Lychee-Womens-Sling-Black-Lbhbcp14Po/dp/B017ETLHTC/ref=sr_1_55?qid=1679152726&s=apparel&sr=1-55,4.0,798,₹455,"₹1,199"
Lino Perros Women's Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/A1P4SD9kOuL._AC_UL320_.jpg,https://www.amazon.in/Lino-Perros-Womens-Clutch-Golden/dp/B01M728R4K/ref=sr_1_56?qid=1679152726&s=apparel&sr=1-56,4.0,326,₹829,"₹2,495"
LEADERACHI Men Messenger Bag Muskat,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gC2c+BZkL._AC_UL320_.jpg,https://www.amazon.in/Leaderachi-Muskat-Hunter-Leather-Messenger/dp/B00W97B1SM/ref=sr_1_57?qid=1679152726&s=apparel&sr=1-57,4.1,456,"₹2,997","₹9,999"
ADISA Women's & Girls Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GZ1E2CIAL._AC_UL320_.jpg,https://www.amazon.in/ADISA-CL023-women-girls-clutch/dp/B06XP3B3ZN/ref=sr_1_58?qid=1679152726&s=apparel&sr=1-58,3.8,579,₹495,"₹1,499"
GENWAYNE Leather Women's Handbag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71lWvQt18LL._AC_UL320_.jpg,https://www.amazon.in/GenWayne-Leather-Womens-Handbag-Brown/dp/B079HZS9K1/ref=sr_1_59?qid=1679152726&s=apparel&sr=1-59,4.1,281,"₹1,888","₹4,500"
Hidesign Women's Handbag (Green),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71PC9fb03RL._AC_UL320_.jpg,https://www.amazon.in/Hidesign-Exclusive-Womens-Shoulder-Green/dp/B01N5CO47L/ref=sr_1_60?qid=1679152726&s=apparel&sr=1-60,4.4,32,"₹5,301","₹10,395"
CREATURE Polyurethane Women Clutch(Maroon),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81aw-OqGObL._AC_UL320_.jpg,https://www.amazon.in/CREATURE-Stylish-Multiple-Color-Maroon-CL-01/dp/B078JM4X8H/ref=sr_1_61?qid=1679152726&s=apparel&sr=1-61,3.9,"1,229",₹648,"₹2,499"
Butterflies Women's Clutch Or Wallet,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71dfYF50rZL._AC_UL320_.jpg,https://www.amazon.in/Butterflies-Womens-Wallet-Multi-Color/dp/B00KPPC4MM/ref=sr_1_62?qid=1679152726&s=apparel&sr=1-62,3.8,438,₹499,"₹1,699"
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Wome...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71JbWkdffCL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-Westside-Womens-Handbag-Beige/dp/B0136TG3L6/ref=sr_1_63?qid=1679152726&s=apparel&sr=1-63,4.0,"6,635",₹629,"₹2,799"
H&B Jute Lunch Bag (GGLYCRT01_Beige),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61KnmB3cv0L._AC_UL320_.jpg,https://www.amazon.in/Womens-Multipurpose-Waterproof-Jute-Beige/dp/B07DGHX6VZ/ref=sr_1_64?qid=1679152726&s=apparel&sr=1-64,4.1,190,₹314,₹399
Caprese Women's Sling Bag (Rust),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81GUxedrsdL._AC_UL320_.jpg,https://www.amazon.in/Caprese-Phoenix-Womens-Sling-Rust/dp/B07DR2S582/ref=sr_1_65?qid=1679152726&s=apparel&sr=1-65,4.1,56,₹999,"₹2,399"
KLEIO Womens Tote Shopping Hand Bag Jacquard Fabric With Faux Leather,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81B62mw1zgL._AC_UL320_.jpg,https://www.amazon.in/Kleio-EZL3002KL-M1-Womens-Canvas-Multicolour/dp/B079DTKV5M/ref=sr_1_66?qid=1679152726&s=apparel&sr=1-66,4.1,773,"₹1,096","₹1,999"
I Define You Women's Handbag (Cream),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/21DEGouNL-L._AC_UL320_.jpg,https://www.amazon.in/Define-You-Latest-Handbag-Womens/dp/B0776GLS3X/ref=sr_1_67?qid=1679152726&s=apparel&sr=1-67,4.0,"1,480",₹794,"₹5,999"
Handcuffs Mens Cash Pouch Money Carrying Case Multipurpose Travel Pouch Zipped Travel Toiletry Bag (Rust),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61rQpc9EUcL._AC_UL320_.jpg,https://www.amazon.in/Handcuffs-BFLCPBR-02-Mens-Handbag-Rust/dp/B06XG6JGQ4/ref=sr_1_68?qid=1679152726&s=apparel&sr=1-68,4.3,600,₹599,₹999
Lorna Imported Women/Girl's Designer Long Zipper Wallet,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81wyiMOMBlL._AC_UL320_.jpg,https://www.amazon.in/Lorna-Women-Designer-Zipper-Wallet/dp/B07B7L5C83/ref=sr_1_72?qid=1679152726&s=apparel&sr=1-72,4.1,850,₹599,"₹1,999"
Tooba Women's Clutch (Silver),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/718rmwHmA4L._AC_UL320_.jpg,https://www.amazon.in/Tooba-Womens-Clutch-Silver-Foam/dp/B0799MPTP8/ref=sr_1_73?qid=1679152726&s=apparel&sr=1-73,3.8,323,₹295,"₹4,999"
Butterflies Women's Wallet,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61cFvGK4TsL._AC_UL320_.jpg,https://www.amazon.in/Butterflies-BNS-2320-MRN-Womens/dp/B00N8MGT5C/ref=sr_1_74?qid=1679152726&s=apparel&sr=1-74,4.0,"1,721",₹349,"₹1,099"
